description,brand,category
ITALIAN STYLE PIZZA SAUCE ,Wee Bee Sidewalk Chalk Inc.,Prepared Pasta & Pizza Sauces
"CHOCOLATE CHIP COOKIES, CHOCOLATE",Kermanig Bakery,Cookies & Biscuits
"CHOCOLATE CHIP COOKIE DOUGH, CHOCOLATE CHIP","Taste of Nature, Inc.",Crusts & Dough
"PIZZA, SUPREME","Hansen's Dairy, Inc.",Pizza
CLUB SODA,"Dr. Pepper/Seven Up, Inc.",Soda
"PLAIN PORK CRACKLINS, PLAIN","Rouse's Enterprises, Inc.",Other Snacks
"JANIE'S COOKIE CO, CHOCOLATE CHUNK COOKIE DOUGH","Rudolph Foods Company, Inc.",Frozen Bread & Dough
"Fast foods, taco with beef, cheese and lettuce, soft",Unknown,Fast Foods
"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients, prepared with whole milk",Unknown,Beverages
85% LEAN 15% FAT ORGANIC STEAK BURGERS PATTIES,Cooperative Regions of Organic Producer Pools,Frozen Patties and Burgers
GUMMIES CANDY,LIFE SAVERS,Candy
"BURGER THE ORIGINAL HEMP PLANT-BASED PATTIES, BURGER THE ORIGINAL",papiyon Beauty,Frozen Patties and Burgers
"Chicken or turkey salad, made with light creamy dressing",Unknown,Poultry mixed dishes
"COOKIES 'N CREAM LIGHT ICE CREAM, COOKIES 'N CREAM",Dreyer's Grand Ice Cream Inc.,Ice Cream & Frozen Yogurt
"SODA, PINEAPPLE","Winn-Dixie Stores, Inc.",Soda
"DARK CHOCOLATE PEPPERMINT CHOCOLATE BAR, DARK CHOCOLATE PEPPERMINT",Sugarfina,Chocolate
"Tea, iced, brewed, black, decaffeinated, unsweetened",Unknown,Tea
"Pasta, whole grain, with tomato-based sauce and added vegetables, restaurant",Unknown,"Pasta mixed dishes, excludes macaroni and cheese"
"McDONALD'S, McFLURRY with M&M'S CANDIES",Unknown,Fast Foods
"PEPPERONI THIN CRUST PIZZA, PEPPERONI",Heggies Pizza LLC,Pizza
COCOA CREMES SNACK CAKES,McKee Foods Corporation,"Cakes, Cupcakes, Snack Cakes"
AMERICAN FLAVOR SANDWICH SLICES CHEESE,"Great Lakes Cheese Co., Inc.",Cheese
Annie's Organic Cheddar Snack Mix,GENERAL MILLS SALES INC.,Snacks
"SRIRACHA SNACK MIX, SRIRACHA",Legacy Bakehouse LLC,Other Snacks
"Turnover or hot pocket, pizza pocket, meat",Unknown,Turnovers and other grain-based items
"CHOCOLATE CHIP THE BOSS! COOKIES, CHOCOLATE CHIP",Lenny & Larry's,Cookies & Biscuits
"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",Unknown,Fast Foods
REAL SUGAR SODA,The Kroger Co.,Soda
SUPREME PIZZA SANDWICH,"Raybern Foods, Inc.",Prepared Subs & Sandwiches
"JUNEBERRY SUMMER EDITION ENERGY DRINK, JUNEBERRY","Red Bull North America, Inc.",Soda
"BRIX SODA CO, CANE COLA",Rainbow Games Inc,Soda
ALMOND COOKIES,Tai Wing Wah Restaurant,Cookies & Biscuits
"VEGGIE BURGER, ORIGINAL","Pulmuone Foods USA, Inc.",Lunch Snacks & Combinations
IMITATION BACON CHIPS,Nash Finch Company,Salad Dressing & Mayonnaise
GARLIC AIOLI SANDWICH SPREAD,Hormel Foods Corporation ,Salad Dressing & Mayonnaise
ITALIAN PIZZA CRUST,Oroweat Bakers Inc.,Pizza Mixes & Other Dry Dinners
"PINEAPPLE FLAVORED SODA, PINEAPPLE",Coca-Cola USA Operations,Soda
BUTTER BREAD,Aldi Inc.,Breads & Buns
Nutritional powder mix (Slim Fast),Unknown,Protein and nutritional powders
"WHITE SANDWICH ENRICHED BREAD, WHITE SANDWICH",The Long Company,Breads & Buns
COOKIES,Nabisco Biscuit Company,Cookies & Biscuits
"SODA, LEMON LIME","Santa Fe Pro Musica, Inc.",Soda
"Shrimp, fried",Unknown,Shellfish
JELLY BEANS CANDY,Ross Acquisition Inc.,Candy
"CHOCOLATE SANDWICH COOKIES, CHOCOLATE","Wal-Mart Stores, Inc.",Cookies & Biscuits
ICE CREAM,Harris-Teeter Inc.,Ice Cream & Frozen Yogurt
CANDIED WALNUTS,"Whole Foods Market, Inc.","Popcorn, Peanuts, Seeds & Related Snacks"
"CANDY, CINNAMON DISCS",Eillien's Candies Inc.,Candy
GREAT ON PASTA OR PIZZA!,The Sauce King,Prepared Pasta & Pizza Sauces
"CANDY CANE FLAVORED COOKIE MIX, CANDY CANE","General Mills, Inc.","Cake, Cookie & Cupcake Mixes"
"Pizza, cheese, from restaurant or fast food, NS as to type of crust",Unknown,Pizza
THIN ENRICHED BREAD,"Flowers Foods, Inc.",Breads & Buns
"CHOCOLATE ALMONDMILK, CHOCOLATE",Blue Diamond Growers,Plant Based Milk
ICE CREAM CUPS,"Supervalu, Inc.",Crackers & Biscotti
6 QUARTER POUND BEEF PATTIES,"Quaker Maid Meats, Inc.",Frozen Patties and Burgers
"Onion rings, breaded, par fried, frozen, unprepared",Unknown,Vegetables and Vegetable Products
ORGANIC BREAD WITH RAISINS,Glencourt Inc.,Breads & Buns
"OLD FASHIONED FLAVORED CHICHARRONES FRIED PORK SKIN, OLD FASHIONED","UTZ Quality Foods, LLC",Other Snacks
REDUCED FAT SAUSAGE PATTIES,"Tyson Foods, Inc.",Frozen Patties and Burgers
Original Philly Beef Sandwich Steaks,Tyson Foods Inc.,Meat/Poultry/Other Animals - Unprepared/Unprocessed
"WHITE PEACH LEMONADE ENERGY DRINK, WHITE PEACH LEMONADE",Uptime Sports Nutrition/medical Industries,"Energy, Protein & Muscle Recovery Drinks"
"KFC, Fried Chicken, EXTRA CRISPY, Wing, meat only, skin and breading removed",Unknown,Fast Foods
CLASSIC WHITE SANDWICH ROLLS,Costanzo's Bakery Inc.,Breads & Buns
