description,category,brand,calories,protein,fat,carbs,calories_per_protein,calories_per_fat,calories_per_carb,label
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,"Meijer, Inc.",-0.2027961611720369,-0.0161634501302114,-0.0010792361825648,-0.2323777943295996,-0.2836973653008547,-0.3322193550081012,-0.1471308822451957,1
"PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACK ROLLS, PEPPERONI",Pizza,Bellisio Foods Inc,-0.1921770378662701,-0.0192622823730215,-0.0082027469063294,-0.214828162910433,-0.2836973129061513,-0.3322193093711581,-0.1471308931171453,1
"PEPPERONI PIZZA WRAPPED IN A GOLDEN CRUST PIZZA SNACKS, PEPPERONI",Pizza,MAMA COZZI'S,-0.245272654395104,-0.0161634501302114,-0.171331142480536,-0.1145445548009096,-0.2836975199010236,-0.3322189313427039,-0.1471310444028351,1
"PIZZERIA ORIGINAL RISING CRUST SUPREME PIZZA, SUPREME PIZZA",Pizza,"Schnuck Markets, Inc.",-0.2948285631553491,0.2978515504745507,-0.2682108883237329,-0.2499274257487661,-0.2836985572520014,-0.332218671351919,-0.1471309547443332,1
"PIZZERIA STYLE THICK CRUST PIZZA, FIVE CHEESE PIZZA",Pizza,"Dr. Oetker USA, LLC",-0.3443844719155941,0.109855727744068,-0.4484357096349745,-0.1797289000720998,-0.2836982735763724,-0.3322176181117445,-0.1471310756274804,1
"PREMIUM PEPPERONI PIZZA CRISPY CRUST SANDWICHES, PEPPERONI PIZZA",Pizza,Nestle USA Inc.,-0.2169549922463926,0.0644061881828525,-0.0010792361825648,-0.2323777943295996,-0.2836977283019169,-0.3322193905457001,-0.1471308964784713,1
"PEPPERONI SEASONED PORK, CHICKEN AND BEEF PIZZA TOPPING PIZZA IN A GOLDEN CRUST PIZZA ROLLS, PEPPERONI",Pizza,"General Mills, Inc.",-0.2027961611720369,-0.1380508516807441,-0.171331142480536,-0.0543743899351957,-0.283696726699826,-0.3322187976518717,-0.1471310590220255,1
THIN CRUST GLUTEN FREE CHEESE PIZZA CRISPY PIZZA TOPPED WITH MOZZARELLA CHEESE AND RICH PIZZA SAUCE,Pizza,"Hy-Vee, Inc.",-0.2063358689406258,0.3185104320932852,-0.1634952806843951,-0.1822359902748379,-0.2836983751291777,-0.3322188404600549,-0.147130943773459,1
"PEPPERONI SEASONED PORK, CHICKEN AND BEEF PIZZA TOPPING PIZZAS, PEPPERONI",Pizza,"General Mills, Inc.",-0.2240344077835704,-0.0326905554251988,0.0416618281600219,-0.3176188612226944,-0.2836973706036702,-0.3322195119179805,-0.1471307860271521,1
"CHEESE PIZZA SAUCE & CHEESE IN A GOLDEN CRUST PIZZA BITES, CHEESE",Pizza,Harris-Teeter Inc.,-0.3302256408412384,0.1997218627855626,-0.5403289979715362,-0.0744311115571003,-0.2836984500217072,-0.3322163200588773,-0.1471311474482109,1
"COMBINATION SAUSAGE & PEPPERONI PIZZA IN A GOLDEN CRUST PIZZA SNACKS, COMBINATION",Pizza,"Safeway, Inc.",-0.245272654395104,-0.0161634501302114,-0.0010792361825648,-0.2323777943295996,-0.2836975199010236,-0.3322194616208979,-0.1471309249450225,1
"PEPPERONI PIZZA PIZZERIA-STYLE SELF-RISING CRUST, PEPPERONI PIZZA",Pizza,The Kroger Co.,-0.2346535310893372,0.1284487212009291,-0.2390044943562985,-0.1496438176392428,-0.2836979886654355,-0.3322186001711639,-0.147131002990789,1
"PEPPERONI PIZZA WRAPPED IN A CRISPY BROWNED CRUST PIZZA BITES, PEPPERONI",Pizza,"Supervalu, Inc.",-0.2027961611720369,-0.0161634501302114,-0.171331142480536,-0.1145445548009096,-0.2836973653008547,-0.3322187976518717,-0.1471310078029817,1
"PEPPERONI PIZZA WRAPPED IN A GOLDEN BROWN CRUST PIZZA BITES, PEPPERONI",Pizza,Bi-Lo Inc.,-0.1603196679489697,0.1057239514203213,-0.0865613648677387,-0.0844594723680526,-0.2836976885409597,-0.3322189878982449,-0.1471309990018357,1
"PEPPERONI, CHEESE & PIZZA SAUCE IN A GOLDEN CRUST PIZZA SNACKERS, PEPPERONI",Pizza,Bellisio Foods Inc,-0.245272654395104,0.1057239514203213,-0.0865613648677387,-0.2323777943295996,-0.2836979534626621,-0.3322192252625621,-0.1471309249450225,1
"PIZZA BITES, SAUSAGE & PEPPERONI PIZZA, WRAPPED IN A CRISPY, BROWNED CRUST",Pizza,Food Town Stores Inc.,-0.2027961611720369,-0.0161634501302114,-0.0865613648677387,-0.1145445548009096,-0.2836973653008547,-0.3322191065804035,-0.1471310078029817,1
"PREMIUM PEPPERONI PIZZA GARLIC BUTTERY CRUST SANDWICHES, PEPPERONI PIZZA",Pizza,Nestle USA Inc.,-0.2169549922463926,0.0644061881828525,-0.0580673219726808,-0.2323777943295996,-0.2836977283019169,-0.3322192335342694,-0.1471308964784713,1
"COMBINATION SAUSAGE & PEPPERONI SEASONED PORK, CHICKEN AND BEEF PIZZA TOPPING PIZZA IN A GOLDEN CRUST PIZZA ROLLS, COMBINATION",Pizza,"General Mills, Inc.",-0.245272654395104,-0.0161634501302114,-0.2546762179485805,-0.0844594723680526,-0.2836975199010236,-0.3322185595966512,-0.1471310696256006,1
"COMBINATION SAUSAGE & PEPPERONI SEASONED PORK, CHICKEN AND BEEF PIZZA TOPPING PIZZA IN A GOLDEN CRUST PIZZA ROLLS, COMBINATION",Pizza,"General Mills, Inc.",-0.2027961611720369,-0.1380508516807441,-0.171331142480536,-0.0543743899351957,-0.283696726699826,-0.3322187976518717,-0.1471310590220255,1
"ALFREDO PIZZA, GARLIC, CHICKEN",Pizza,Pizza Corner,-0.2027961611720369,0.4941109258525271,-0.241141547573428,-0.24491324534329,-0.2836986752999997,-0.3322184777510765,-0.1471308663804943,1
"CANADIAN STYLE PIZZA, BACON",Pizza,Pizza Corner,-0.1815579145605033,0.4941109258525271,-0.2717726436856152,-0.1697005392611475,-0.2836986298217568,-0.3322182340203,-0.1471309342059003,1
